DCA	Removing	Predicted-label	Prob-class0	Prob-class1
All	NA	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0043229	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0043229	False	0	0.6	0.4
http://purl.obolibrary.org/obo/GO_0022627	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0022627	False	1	0.005596355852939061	0.994403644147061
http://purl.obolibrary.org/obo/GO_0005654	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005654	False	0	0.88	0.12
http://purl.obolibrary.org/obo/GO_0006412	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0006412	False	0	0.5549019607843136	0.4450980392156863
http://purl.obolibrary.org/obo/GO_0006614	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0006614	False	1	0.26198224852071006	0.7380177514792899
http://purl.obolibrary.org/obo/GO_0016020	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0016020	False	0	0.98	0.02
http://purl.obolibrary.org/obo/GO_0019083	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0019083	False	1	0.32253602305475504	0.6774639769452449
http://purl.obolibrary.org/obo/GO_0006413	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0006413	False	1	0.36	0.64
http://purl.obolibrary.org/obo/GO_0000184	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0000184	False	1	0.20413689512076263	0.7958631048792373
http://purl.obolibrary.org/obo/GO_0005829	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005829	False	0	0.98	0.02
http://purl.obolibrary.org/obo/GO_0003735	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0003735	False	1	0.02528442267027507	0.974715577329725
http://purl.obolibrary.org/obo/GO_0005515	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0005515	False	0	0.846109985184415	0.15389001481558473
http://purl.obolibrary.org/obo/GO_0003723	True	1	0.0	1.0
http://purl.obolibrary.org/obo/GO_0003723	False	1	0.4344444444444444	0.5655555555555556
